row,id,travel_datetime,travel_date,pointtype,name,sleepcategory,nonights,next_id,next_travel_datetime,next_travel_date,next_pointtype,next_name,day_diff_to_next_entry,status,
116,114,12/7/2023 0:00,12/7/2023,sleep,Los Christianos Beach,camping,3,115,12/10/2023 0:00,12/10/2023,waypoint,Las Lajas,3,match,
117,115,12/10/2023 0:00,12/10/2023,waypoint,Las Lajas,,0,116,12/10/2023 0:00,12/10/2023,sleep,Las Lajas,0,not_sleep,
118,116,12/10/2023 0:00,12/10/2023,sleep,Las Lajas,camping,2,117,12/12/2023 0:00,12/12/2023,waypoint,Marina Amarilla,2,match,
119,117,12/12/2023 0:00,12/12/2023,waypoint,Marina Amarilla,,0,118,12/12/2023 0:00,12/12/2023,sleep,San Miguel,0,not_sleep,
120,118,12/12/2023 0:00,12/12/2023,sleep,San Miguel,camping,1,121,12/13/2023 0:00,12/13/2023,waypoint,Los Christianos Beach,1,match,
121,121,12/13/2023 0:00,12/13/2023,waypoint,Los Christianos Beach,,0,123,12/13/2023 0:00,12/13/2023,sleep,Coast of Tenerife,0,not_sleep,
122,123,12/13/2023 0:00,12/13/2023,sleep,Coast of Tenerife,boat,1,124,12/13/2023 0:00,12/13/2023,waypoint,Adeje,0,mismatch,-1
123,124,12/13/2023 0:00,12/13/2023,waypoint,Adeje,,0,122,12/14/2023 0:00,12/14/2023,waypoint,Playa de San Juan,1,not_sleep,
124,122,12/14/2023 0:00,12/14/2023,waypoint,Playa de San Juan,,0,125,12/14/2023 0:01,12/14/2023,waypoint,La Caleta,0,not_sleep,
125,125,12/14/2023 0:01,12/14/2023,waypoint,La Caleta,,0,126,12/14/2023 0:02,12/14/2023,sleep,Cave,0,not_sleep,
126,126,12/14/2023 0:02,12/14/2023,sleep,Cave,camping,1,128,12/15/2023 0:00,12/15/2023,waypoint,La Caleta,1,match,
127,128,12/15/2023 0:00,12/15/2023,waypoint,La Caleta,,0,127,12/15/2023 0:01,12/15/2023,waypoint,Los Christianos Port,0,not_sleep,
128,127,12/15/2023 0:01,12/15/2023,waypoint,Los Christianos Port,,0,129,12/15/2023 0:02,12/15/2023,waypoint,San Sebastian Port,0,not_sleep,
129,129,12/15/2023 0:02,12/15/2023,waypoint,San Sebastian Port,,0,130,12/15/2023 0:03,12/15/2023,waypoint,Valle Gran Rey,0,not_sleep,
130,130,12/15/2023 0:03,12/15/2023,waypoint,Valle Gran Rey,,0,131,12/15/2023 0:05,12/15/2023,sleep,Playa Ingles,0,not_sleep,
131,131,12/15/2023 0:05,12/15/2023,sleep,Playa Ingles,camping,1,132,12/16/2023 0:00,12/16/2023,sleep,Mirador de El Santo,1,match,
132,132,12/16/2023 0:00,12/16/2023,sleep,Mirador de El Santo,camping,1,133,12/17/2023 0:00,12/17/2023,sleep,Playa Ingles,1,match,
133,133,12/17/2023 0:00,12/17/2023,sleep,Playa Ingles,camping,2,134,12/19/2023 0:00,12/19/2023,waypoint,Medio Beach,2,match,
134,134,12/19/2023 0:00,12/19/2023,waypoint,Medio Beach,,0,135,12/19/2023 0:01,12/19/2023,sleep,Hippie Cave,0,not_sleep,
135,135,12/19/2023 0:01,12/19/2023,sleep,Hippie Cave,camping,1,136,12/20/2023 0:00,12/20/2023,waypoint,San Sebastian Port,1,match,
136,136,12/20/2023 0:00,12/20/2023,waypoint,San Sebastian Port,,0,137,12/20/2023 0:02,12/20/2023,waypoint,Los Christianos Port,0,not_sleep,
137,137,12/20/2023 0:02,12/20/2023,waypoint,Los Christianos Port,,0,138,12/20/2023 0:03,12/20/2023,sleep,Los Christianos Beach,0,not_sleep,
138,138,12/20/2023 0:03,12/20/2023,sleep,Los Christianos Beach,camping,1,139,12/21/2023 0:00,12/21/2023,waypoint,Santiago de Teide,1,match,
139,139,12/21/2023 0:00,12/21/2023,waypoint,Santiago de Teide,,0,140,12/21/2023 0:01,12/21/2023,waypoint,Puerto de la Cruz,0,not_sleep,
140,140,12/21/2023 0:01,12/21/2023,waypoint,Puerto de la Cruz,,0,141,12/21/2023 0:03,12/21/2023,waypoint,Santa Cruz,0,not_sleep,
141,141,12/21/2023 0:03,12/21/2023,waypoint,Santa Cruz,,0,142,12/21/2023 0:04,12/21/2023,waypoint,La Caleta,0,not_sleep,
142,142,12/21/2023 0:04,12/21/2023,waypoint,La Caleta,,0,143,12/21/2023 0:06,12/21/2023,sleep,Cave,0,not_sleep,
143,143,12/21/2023 0:06,12/21/2023,sleep,Cave,camping,5,144,12/26/2023 0:00,12/26/2023,waypoint,La Caleta,5,match,
144,144,12/26/2023 0:00,12/26/2023,waypoint,La Caleta,,0,145,12/26/2023 0:01,12/26/2023,sleep,Las Lajas,0,not_sleep,
145,145,12/26/2023 0:01,12/26/2023,sleep,Las Lajas,camping,1,146,12/27/2023 0:00,12/27/2023,waypoint,Teide,1,match,
146,146,12/27/2023 0:00,12/27/2023,waypoint,Teide,,0,147,12/27/2023 0:01,12/27/2023,sleep,Playa Teresitas,0,not_sleep,
147,147,12/27/2023 0:01,12/27/2023,sleep,Playa Teresitas,camping,1,148,12/28/2023 0:00,12/28/2023,sleep,Playa Benijo,1,match,
148,148,12/28/2023 0:00,12/28/2023,sleep,Playa Benijo,camping,2,149,12/30/2023 0:00,12/30/2023,sleep,El Medano,2,match,
