"leg_id","timestamp_utc","from_key","to_key","from_name","to_name","transport","route_source","route_confidence"
"591","2024-08-09 22:01:00","1723240800000","1723240860000","MÃƒÂ¼nsingen","Thun","car","arcgis","existing"
"592","2024-08-08 22:09:00","1723154880000","1723154940000","MÃƒÂ¼nsingen","MÃƒÂ¼nsingen","foot","arcgis","existing"
"593","2024-08-09 22:00:00","1723154940000","1723240800000","MÃƒÂ¼nsingen","MÃƒÂ¼nsingen","foot","arcgis","existing"
"594","2024-08-13 22:06:00","1723586700000","1723586760000","Martigny","Trient","car","arcgis","existing"
"595","2024-08-13 22:05:00","1723586640000","1723586700000","Martigny","Martigny","car","arcgis","existing"
"596","2024-08-14 22:00:00","1723586820000","1723672800000","Peuty Camping","Trient","foot","arcgis","existing"
"597","2024-08-14 22:06:00","1723673040000","1723673160000","Sierre","Gampel","car","arcgis","existing"
"598","2024-08-14 22:03:00","1723672860000","1723672980000","Martigny","Relais de St-Bernard","car","arcgis","existing"
"599","2024-08-14 22:01:00","1723672800000","1723672860000","Trient","Martigny","car","arcgis","existing"
"600","2024-08-14 22:04:00","1723672980000","1723673040000","Relais de St-Bernard","Sierre","car","arcgis","existing"
"601","2024-08-13 22:07:00","1723586760000","1723586820000","Trient","Peuty Camping","foot","arcgis","existing"
"602","2024-08-13 22:00:00","1723241100000","1723586400000","Wiler, LÃƒÂ¶tschental","Gampel","car","arcgis","existing"
"603","2024-08-13 22:02:00","1723586460000","1723586520000","Gampel-Steg","Riddes","car","arcgis","existing"
"604","2024-08-13 22:01:00","1723586400000","1723586460000","Gampel","Gampel-Steg","car","arcgis","existing"
"605","2024-08-13 22:04:00","1723586520000","1723586640000","Riddes","Martigny","car","arcgis","existing"
"606","2024-08-14 22:07:00","1723673160000","1723673220000","Gampel","Goppenstein","car","arcgis","existing"
"607","2024-08-14 22:08:00","1723673220000","1723673280000","Goppenstein","Wiler, LÃƒÂ¶tschental","car","arcgis","existing"
